disName,prodCatId,updator,updateDate,descp,pic,status,rentDateType,isEcoProd,isPbgnProd
Gogoro 3 Plus,1,admin,20201213003749,,prodCat/1-7805fed30ae8e97a472.png,0,,F,F
EC-05,2,admin,20201213093127,,prodCat/2-e5c8bc24cad282ab6d4.png,0,,F,F
Gogoro 2 Plus,3,,,超讚,,0,,F,T
環島車款,4,admin,20210126221921,,prodCat/4-dd9c75d6d055dced885.png,0,,F,F
超值車款,5,,,,,0,,F,F
Gogoro Viva,6,admin,20201213003749,,prodCat/1-7805fed30ae8e97a472.png,0,,F,F
Gogoro Viva Mix,7,admin,20201213093127,,prodCat/2-e5c8bc24cad282ab6d4.png,0,,F,F
PGO UR1,8,,,,,0,,F,F
GOGORO Rumbler,9,,,,,0,,F,F
Gogoro 2 - 長租,10,,,,,0,,F,F
Gogoro viva - 長租,11,,,,,0,,F,F
Gogoro 3 - 長租,12,,,,,0,,F,F
Yamaha EC05 - 長租,13,,,,,0,,F,F
ECO,14,,,,,0,,T,F
TF微型電動車,15,,,,,0,,F,F
JOG125,16,,,,,0,,,F
test vino,17,,,,,0,,,F
EZ1,18,,,EZ1,,0,,F,F
